0.9896763011,-0.1379330429,0.0049447114,0.0326979806,0.0019458949,0.0009262394
0.9596156579,-0.2688479305,0.0021470527,0.0671480227,0.0120116332,0.0409062971
0.9686807403,-0.2321598746,0.0034169714,0.0619708609,0.0021825455,0.0609985397
0.9800927239,-0.1867405621,0.0036585026,0.0505427130,-0.0001985780,0.0442272916
0.9799006979,-0.1884746245,0.0039177624,0.0503753138,0.0004307753,0.0412857492
0.9906555972,-0.1303515020,0.0048325096,0.0350437349,-0.0042429906,0.0149468586
0.9906025849,-0.1310581336,0.0048005544,0.0347774441,-0.0032707738,0.0131213212
0.9747590965,-0.2109878721,0.0042013374,0.0568960275,-0.0024760306,0.0432687701
0.9759155865,-0.2056169962,0.0039444865,0.0556048631,-0.0024520190,0.0443577021
0.9751403515,-0.2102675637,0.0041024424,0.0559972451,-0.0010946423,0.0395812488
0.9770058390,-0.2018767650,0.0038828049,0.0540758112,-0.0014966270,0.0397715385
0.9765949339,-0.2035843947,0.0032972369,0.0539951502,-0.0005746675,0.0403031306
0.9791303932,-0.1924418654,0.0048940484,0.0524261389,-0.0039738974,0.0371908007
0.9796034678,-0.1903379390,0.0050420892,0.0518263004,-0.0050009411,0.0363446226
0.9799206487,-0.1888137767,0.0047322002,0.0514018118,-0.0041716369,0.0363801024
0.9831861146,-0.1755381222,0.0029082911,0.0456124587,0.0024651109,0.0173013645
0.9824490881,-0.1793646272,0.0029162919,0.0463850321,0.0026290353,0.0177687290
0.9999971835,-0.0000000044,-0.0000000003,0.0000000000,0.0000000000,-0.0000000000
0.9860629436,-0.1604790494,0.0028604394,0.0410161812,0.0032930771,0.0120826988
0.9957557645,-0.0893337565,0.0018272424,0.0215025169,0.0039480366,-0.0000157701
0.9823174953,-0.1810674255,0.0027791886,0.0451926718,0.0058940432,0.0083297671
0.9862936788,-0.1596802899,0.0034842853,0.0405517116,0.0025771438,0.0057975903
0.9867002746,-0.1573410945,0.0037164633,0.0399600910,0.0017520373,0.0051066747
0.9843475431,-0.1703272776,0.0030154345,0.0432578057,0.0033483685,0.0090158024
0.9837395933,-0.1735492959,0.0032298884,0.0438800249,0.0034921412,0.0097285395
0.9832570672,-0.1758293128,0.0028712689,0.0450490189,0.0036751497,0.0107407325
0.9824526220,-0.1800373976,0.0027706680,0.0456887358,0.0037116335,0.0115564534
0.9818702795,-0.1829230369,0.0028561004,0.0463708557,0.0042542839,0.0119264851
0.9821137846,-0.1817417737,0.0025304814,0.0461373900,0.0042443002,0.0114564145
0.9862320454,-0.1600020511,0.0040906429,0.0409539356,0.0011707038,0.0044856227
0.9872506406,-0.1539501543,0.0038566139,0.0398200267,-0.0000678495,0.0030933824
0.9848223049,-0.1681541270,0.0041965261,0.0426658858,0.0000002984,0.0000003953
